,Date,HomeTeam,AwayTeam,HF,AF,HF_Lg_Av,AF_Lg_Av,Sup Exp,HG_Exp,AG_Exp,H_Fl_F_Av,A_Fl_F_Av,H_Fl_Ag_Av,A_Fl_Ag_Av
0,2014-08-30,Burnley,Man United,10.0,14.0,11.24,11.44,-1.18,0.74,1.92,9.5,14.5,10.5,15.0
1,2014-08-30,Everton,Chelsea,7.0,16.0,11.24,11.44,-0.4299999999999999,1.05,1.48,10.0,9.0,17.0,8.5
2,2014-08-30,Man City,Stoke,14.0,5.0,11.24,11.44,2.32,2.73,0.41,12.0,12.0,7.5,9.5
3,2014-08-30,Newcastle,Crystal Palace,12.0,19.0,11.24,11.44,0.8899999999999999,1.63,0.74,8.0,16.5,11.0,12.0
4,2014-08-30,QPR,Sunderland,8.0,9.0,11.24,11.44,0.2299999999999999,1.26,1.03,8.0,9.5,11.0,16.5
5,2014-08-30,Swansea,West Brom,10.0,8.0,11.24,11.44,0.7999999999999999,1.7,0.9,17.0,16.5,13.5,11.5
6,2014-08-30,West Ham,Southampton,11.0,13.0,11.24,11.44,-0.03,1.25,1.28,11.5,12.5,12.0,11.5
7,2014-08-31,Aston Villa,Hull,9.0,10.0,11.24,11.44,0.3199999999999999,1.21,0.89,10.0,10.0,11.0,10.0
8,2014-08-31,Leicester,Arsenal,14.0,6.0,11.24,11.44,-0.8500000000000001,0.94,1.79,13.5,15.5,10.5,14.5
9,2014-08-31,Tottenham,Liverpool,14.0,11.0,11.24,11.44,0.0,1.52,1.52,11.0,7.5,9.0,12.0
10,2014-09-13,Arsenal,Man City,11.0,15.0,11.24,11.44,-0.1899999999999999,1.27,1.46,12.33,12.67,14.33,6.67
11,2014-09-13,Chelsea,Swansea,12.0,11.0,11.24,11.44,1.85,2.37,0.52,11.33,14.67,8.0,11.67
12,2014-09-13,Crystal Palace,Burnley,12.0,10.0,11.24,11.44,0.3700000000000001,1.34,0.97,17.33,9.67,12.0,11.67
13,2014-09-13,Liverpool,Aston Villa,9.0,10.0,11.24,11.44,2.04,2.59,0.55,8.67,9.67,12.67,10.67
14,2014-09-13,Southampton,Newcastle,15.0,7.0,11.24,11.44,0.88,1.72,0.84,12.67,9.33,11.33,13.67
15,2014-09-13,Stoke,Leicester,8.0,15.0,11.24,11.44,0.4899999999999999,1.41,0.92,9.67,13.67,11.0,9.0
16,2014-09-13,Sunderland,Tottenham,10.0,13.0,11.24,11.44,-0.4599999999999999,1.07,1.53,9.33,12.0,13.67,9.67
17,2014-09-13,West Brom,Everton,12.0,8.0,11.24,11.44,-0.4199999999999999,1.12,1.54,13.67,9.0,11.0,16.67
18,2014-09-14,Man United,QPR,11.0,8.0,11.24,11.44,2.03,2.53,0.5,14.33,8.0,13.33,10.33
19,2014-09-15,Hull,West Ham,12.0,7.0,11.24,11.44,0.43,1.36,0.93,10.0,11.33,9.67,12.33
20,2014-09-20,Aston Villa,Arsenal,11.0,9.0,11.24,11.44,-0.7999999999999999,0.9,1.7,9.75,12.0,10.25,14.5
21,2014-09-20,Burnley,Sunderland,14.0,14.0,11.24,11.44,0.1499999999999999,1.26,1.11,9.75,9.5,11.75,13.5
22,2014-09-20,Newcastle,Hull,11.0,11.0,11.24,11.44,0.4299999999999999,1.43,1.0,8.75,10.5,14.0,9.0
23,2014-09-20,QPR,Stoke,6.0,15.0,11.24,11.44,0.0,1.14,1.14,8.0,9.25,10.5,12.0
24,2014-09-20,Swansea,Southampton,11.0,15.0,11.24,11.44,0.1800000000000001,1.37,1.19,13.75,13.25,11.75,10.25
25,2014-09-20,West Ham,Liverpool,16.0,11.0,11.24,11.44,-0.93,1.05,1.98,10.25,8.75,12.25,12.0
26,2014-09-21,Everton,Crystal Palace,8.0,13.0,11.24,11.44,1.64,2.25,0.61,8.75,16.0,15.5,11.5
27,2014-09-21,Leicester,Man United,11.0,9.0,11.24,11.44,-1.1800000000000002,0.88,2.06,14.0,13.5,8.75,12.0
28,2014-09-21,Man City,Chelsea,16.0,12.0,11.24,11.44,0.2299999999999999,1.51,1.28,13.25,11.5,7.75,8.75
